,Station_names,Latitude,Longitude
0,"Bangalore International Exhibition Centre (BIEC) , Bangalore",13.0607572,77.47436462032766
1,"Whitefield, Bangalore",12.9696365,77.7497448
2,"Ragigudda Temple, Bangalore",12.9141893,77.5933299
3,"Nagawara, Bangalore",13.0431413,77.6209093
4,"Jindal, Bangalore",13.0532831,77.4838143
5,"Ujwala Vidyalaya, Bangalore",,
6,"Jayadeva Hospital Interchange, Bangalore",12.9167214,77.5999407
7,"Arabic College, Bangalore",13.0300088,77.6208657
8,"Manjunathanagar, Bangalore",,
9,"Kadugodi, Bangalore",12.9985767,77.7609716
10,"BTM Layout, Bangalore",12.9151772,77.6102821
11,"Venkateshpura, Bangalore",,
12,"Nagasandra, Bangalore",13.0479497,77.5001349
13,"ITPL, Bangalore",12.9845687,77.73766474151809
14,"Silk Board Interchange, Bangalore",12.9178038,77.6227686
15,"Tannery Town, Bangalore",13.0022309,77.6121329
16,"Dasarahalli, Bangalore",13.0994854,77.8361008
17,"Satyasai Medical Institute, Bangalore",,
18,"HSR Layout, Bangalore",12.9116225,77.6388622
19,"Pottery Town, Bangalore",13.001385,77.6079476
20,"Jalahalli, Bangalore",13.0464531,77.5483803
21,"Vydehi Hospital, Bangalore",12.9766101,77.7270249
22,"Oxford College, Bangalore",12.9010304,77.63097229900268
23,"Cantonment Railway Station, Bangalore",12.9939366,77.5969974
24,"Peenya Industry, Bangalore",13.0363176,77.5254924
25,"Kundalahalli, Bangalore",12.9684441,77.7187843
26,"Muneshwara Nagar, Bangalore",13.014081149999999,77.61147441571453
27,"Shivajinagar, Bangalore",12.986391,77.6075416
28,"Peenya, Bangalore",13.0329419,77.5273253
29,"Visvesvaraya Industrial Estate, Bangalore",,
30,"Chikkabegur, Bangalore",12.8808175,77.6445629
31,"MG Road Interchange, Bangalore",,
32,"Yashwanthpur Industry, Bangalore",,
33,"Doddanakundi, Bangalore",,
34,"Basapura Road, Bangalore",12.8656409,77.6515414
35,"Vellara Junction, Bangalore",12.9656589,77.6069127
36,"Yeshwanthpur, Bangalore",13.021834550000001,77.54768594156756
37,"Garudacharapalya, Bangalore",,
38,"Hosa Road, Bangalore",12.869978,77.6534601
39,"Langford Town, Bangalore",12.957998,77.6037312
40,"Sandal Soap Factory, Bangalore",13.0146544,77.5539839
41,"Mahadevapura, Bangalore",12.9934976,77.6924156
42,"Electronics City 1, Bangalore",12.848068,77.6706994
43,"MICO Bosch, Bangalore",12.9494696,77.6030717
44,"Mahalaxmi, Bangalore",12.9146789,77.6055734
45,"KR Puram, Bangalore",13.007516,77.695935
46,"Electronics City 2, Bangalore",12.8468241,77.6716713
47,"Dairy Circle, Bangalore",12.9373006,77.6019765
48,"Rajajinagar, Bangalore",12.9882338,77.554883
49,"Jyothipuram, Bangalore",,
50,"Huskur Road, Bangalore",13.0866797,77.4467243
51,"Swagath Road Cross, Bangalore",12.9284337,77.5952335
52,"Srirampura, Bangalore",12.9965253,77.5631963
53,"Baiyappanahalli, Bangalore",13.355337,77.3541755
54,"Hebbagodi, Bangalore",12.8267016,77.6799745
55,"Jayadeva Hospital Interchange, Bangalore",,
56,"Sampige Road, Bangalore",12.9921335,77.5714955
57,"Swami Vivekananda Road, Bangalore",12.9859306,77.644897
58,"Bommasandra, Bangalore",12.8162443,77.6916113
59,"JP Nagar 4th block, Bangalore",,
60,"Kempegowda Interchange, Bangalore",,
61,"Indiranagar, Bangalore",12.9732913,77.6404672
62,"IIMB, Bangalore",12.89558285,77.60262192276136
63,"Chikpette, Bangalore",,
64,"Halasuru, Bangalore",12.9778793,77.6246697
65,"Hulimavu, Bangalore",12.8773486,77.6028031
66,"Krishna Rajendra Market, Bangalore",12.9608788,77.5746578
67,"Trinity, Bangalore",12.9730218,77.6170205
68,"Gottigere, Bangalore",12.8565317,77.5877237
69,"National College, Bangalore",12.9505161,77.5736794
70,"Mahatma Gandhi Road, Bangalore",12.9730154,77.6166123
71,"Lalbagh, Bangalore",12.9465265,77.580016
72,"Cubbon Park, Bangalore",12.974225650000001,77.5922016755568
