,Unnamed: 0,Station_names,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Coordinates
0,0,"Bangalore International Exhibition Centre (BIEC) , Bangalore",13.0607572,77.47436462,0,1,1,5,0,0,4,0,1,1,"13.0608,77.4744"
1,1,"Whitefield, Bangalore",12.9696365,77.7497448,0,5,0,15,5,5,15,0,6,2,"12.9696,77.7497"
2,2,"Ragigudda Temple, Bangalore",12.9141893,77.5933299,4,7,1,84,13,10,28,1,27,12,"12.9142,77.5933"
3,3,"Nagawara, Bangalore",13.0431413,77.6209093,5,2,2,25,5,3,29,0,5,5,"13.0431,77.6209"
4,4,"Jindal, Bangalore",13.0532831,77.4838143,0,0,0,4,0,0,3,0,1,1,"13.0533,77.4838"
5,6,"Jayadeva Hospital Interchange, Bangalore",12.9167214,77.5999407,5,5,0,59,5,5,24,1,26,3,"12.9167,77.5999"
6,7,"Arabic College, Bangalore",13.0300088,77.6208657,1,1,1,4,5,5,6,0,12,1,"13.03,77.6209"
7,9,"Kadugodi, Bangalore",12.9985767,77.7609716,2,24,0,8,0,5,4,0,6,5,"12.9986,77.761"
8,10,"BTM Layout, Bangalore",12.9151772,77.6102821,0,10,1,47,5,9,11,0,18,5,"12.9152,77.6103"
9,12,"Nagasandra, Bangalore",13.0479497,77.5001349,0,1,0,6,0,6,7,0,17,2,"13.0479,77.5001"
10,13,"ITPL, Bangalore",12.9845687,77.73766474,2,1,0,42,7,6,33,0,9,7,"12.9846,77.7377"
11,14,"Silk Board Interchange, Bangalore",12.9178038,77.6227686,3,3,2,23,5,3,22,1,9,6,"12.9178,77.6228"
12,15,"Tannery Town, Bangalore",13.0022309,77.6121329,5,7,1,37,3,6,14,1,18,3,"13.0022,77.6121"
13,16,"Dasarahalli, Bangalore",13.043552,77.512583,3,2,0,5,3,2,14,0,25,4,"13.0436,77.5126"
14,18,"HSR Layout, Bangalore",12.9116225,77.6388622,5,8,1,73,6,9,17,2,20,4,"12.9116,77.6389"
15,19,"Pottery Town, Bangalore",13.001385,77.6079476,3,8,2,37,2,6,16,1,19,3,"13.0014,77.6079"
16,20,"Jalahalli, Bangalore",13.0464531,77.5483803,5,9,0,7,3,7,7,1,15,3,"13.0465,77.5484"
17,21,"Vydehi Hospital, Bangalore",12.9766101,77.7270249,0,2,0,26,4,6,33,0,7,2,"12.9766,77.727"
18,22,"Oxford College, Bangalore",12.9010304,77.6309723,3,7,0,10,4,5,11,1,7,9,"12.901,77.631"
19,23,"Cantonment Railway Station, Bangalore",12.9939366,77.5969974,3,5,2,49,5,4,22,0,15,5,"12.9939,77.597"
20,24,"Peenya Industry, Bangalore",13.0363176,77.5254924,2,4,0,4,1,1,22,1,4,5,"13.0363,77.5255"
21,25,"Kundalahalli, Bangalore",12.9684441,77.7187843,3,5,0,16,5,4,12,3,15,6,"12.9684,77.7188"
22,26,"Muneshwara Nagar, Bangalore",13.01408115,77.61147442,0,1,0,4,1,0,3,0,18,0,"13.0141,77.6115"
23,27,"Shivajinagar, Bangalore",12.986391,77.6075416,3,6,2,31,3,2,19,0,34,5,"12.9864,77.6075"
24,28,"Peenya, Bangalore",13.0329419,77.5273253,0,3,0,7,0,1,20,1,19,4,"13.0329,77.5273"
25,30,"Chikkabegur, Bangalore",12.8808175,77.6445629,1,3,0,6,5,6,9,1,16,4,"12.8808,77.6446"
26,34,"Basapura Road, Bangalore",12.8656409,77.6515414,1,4,0,6,2,6,4,1,13,2,"12.8656,77.6515"
27,35,"Vellara Junction, Bangalore",12.9656589,77.6069127,5,4,2,87,36,9,36,1,42,24,"12.9657,77.6069"
28,36,"Yeshwanthpur, Bangalore",13.02183455,77.54768594,4,3,0,10,4,2,2,0,6,10,"13.0218,77.5477"
29,38,"Hosa Road, Bangalore",12.869978,77.6534601,1,3,0,6,2,7,5,1,17,3,"12.87,77.6535"
30,39,"Langford Town, Bangalore",12.957998,77.6037312,5,3,1,17,5,2,22,1,14,7,"12.958,77.6037"
